Combo Ingredients,FDA Combo Products,HSA Combo Products,FDA Combo Count,HSA Combo Count,Combo/Formulation Availability,Other Country Component Coverage,Combo/Formulation Reason
abacavir + lamivudine + zidovudine,LAMIVUDINE; ZIDOVUDINE; ABACAVIR | TRIZIVIR,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
acetic acid + desonide,TRIDESILON,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
acetic acid + hydrocortisone,VOSOL HC,,1,0,FDA_COMBO_ONLY,"all components present in HSA, but exact combo absent","FDA has exact combo; HSA exact combo absent; all components present in HSA, but exact combo absent"
acetylcysteine + isoprenaline,MUCOMYST W/ ISOPROTERENOL,,1,0,FDA_COMBO_ONLY,missing components in HSA: isoprenaline,FDA has exact combo; HSA exact combo absent; missing components in HSA: isoprenaline
acetylsalicylic acid + butalbital + caffeine,FIORINAL,,1,0,FDA_COMBO_ONLY,missing components in HSA: butalbital,FDA has exact combo; HSA exact combo absent; missing components in HSA: butalbital
acetylsalicylic acid + butalbital + caffeine + codeine,FIORINAL W/CODEINE,,1,0,FDA_COMBO_ONLY,missing components in HSA: butalbital,FDA has exact combo; HSA exact combo absent; missing components in HSA: butalbital
acetylsalicylic acid + caffeine + dextropropoxyphene,DARVON COMPOUND | DARVON COMPOUND-65,,2,0,FDA_COMBO_ONLY,missing components in HSA: dextropropoxyphene,FDA has exact combo; HSA exact combo absent; missing components in HSA: dextropropoxyphene
acetylsalicylic acid + caffeine + dihydrocodeine,SYNALGOS-DC,,1,0,FDA_COMBO_ONLY,missing components in HSA: dihydrocodeine,FDA has exact combo; HSA exact combo absent; missing components in HSA: dihydrocodeine
acetylsalicylic acid + caffeine + orphenadrine,NORGESIC | NORGESIC FORTE,,2,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
acetylsalicylic acid + caffeine + paracetamol,EXCEDRIN (MIGRAINE RELIEF),,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
acetylsalicylic acid + carisoprodol,SOMA COMPOUND,,1,0,FDA_COMBO_ONLY,missing components in HSA: carisoprodol,FDA has exact combo; HSA exact combo absent; missing components in HSA: carisoprodol
acetylsalicylic acid + carisoprodol + codeine,SOMA COMPOUND W/ CODEINE,,1,0,FDA_COMBO_ONLY,missing components in HSA: carisoprodol,FDA has exact combo; HSA exact combo absent; missing components in HSA: carisoprodol
acetylsalicylic acid + dextropropoxyphene,DARVON W/ ASA | DARVON-N W/ ASA,,2,0,FDA_COMBO_ONLY,missing components in HSA: dextropropoxyphene,FDA has exact combo; HSA exact combo absent; missing components in HSA: dextropropoxyphene
acetylsalicylic acid + dipyridamole,AGGRENOX,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
acetylsalicylic acid + meprobamate,EQUAGESIC,,1,0,FDA_COMBO_ONLY,missing components in HSA: meprobamate,FDA has exact combo; HSA exact combo absent; missing components in HSA: meprobamate
acetylsalicylic acid + methocarbamol,ROBAXISAL,,1,0,FDA_COMBO_ONLY,missing components in HSA: methocarbamol,FDA has exact combo; HSA exact combo absent; missing components in HSA: methocarbamol
acetylsalicylic acid + omeprazole,YOSPRALA,,1,0,FDA_COMBO_ONLY,all components standalone in HSA,FDA has exact combo; HSA exact combo absent; all components standalone in HSA
